conditioner_id,inventary_number,serial_number,status,conditioner_type,description,have_pomp,name_from_onec,number_room,price,split_system,year_created,conditioner_model_id
511,119YX78901,GF87NM500001,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",50000.0,1,2024,1
512,222YX99902,XF17VV500002,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",34000.0,1,2022,2
513,119YX78903,GF87NM500003,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",50000.0,1,2024,1
514,222YX99904,XF17VV500004,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",34000.0,1,2022,2
515,119YX78905,GF87NM500005,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",55000.0,1,2024,1
516,222YX99906,XF17VV500006,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",34000.0,1,2023,2
517,119YX78907,GF87NM500007,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",50000.0,1,2024,1
518,222YX99908,XF17VV500008,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",34000.0,1,2022,2
519,119YX78909,GF87NM500009,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",50000.0,1,2024,1
520,222YX99910,XF17VV500010,OK,1,"описание отсутствует",1,"кондиционер для серверной","серверная",34000.0,1,2023,2
