hub_id,inventary_number,serial_number,status,date_exploitation_begin,name_from_onec,port_amount,year_created,hub_model_id
548,110JJJ3001,BASVLG599001,OK,2021-05-22,"Коммутатор",24,2021,1
549,110KKK3002,BA97CG599002,OK,2022-01-15,"Коммутатор d-link",24,2022,2
550,110JJJ3003,BASVLG599003,OK,2021-06-10,"Коммутатор",48,2021,1
551,110KKK3004,BA97CG599004,OK,2022-02-20,"Коммутатор d-link",24,2022,2
552,110JJJ3005,BASVLG599005,OK,2021-08-14,"Коммутатор",24,2021,1
553,110KKK3006,BA97CG599006,OK,2023-03-05,"Коммутатор d-link",48,2023,2
554,110JJJ3007,BASVLG599007,OK,2021-11-22,"Коммутатор",24,2021,1
555,110KKK3008,BA97CG599008,OK,2022-05-18,"Коммутатор d-link",24,2022,2
556,110JJJ3009,BASVLG599009,OK,2024-01-12,"Коммутатор",48,2024,1
557,110KKK3010,BA97CG599010,OK,2022-09-30,"Коммутатор d-link",24,2022,2
558,110JJJ3011,BASVLG599011,OK,2021-12-01,"Коммутатор",24,2021,1
559,110KKK3012,BA97CG599012,OK,2023-06-15,"Коммутатор d-link",24,2023,2
560,110JJJ3013,BASVLG599013,OK,2021-07-25,"Коммутатор",48,2021,1
561,110KKK3014,BA97CG599014,OK,2022-10-10,"Коммутатор d-link",24,2022,2
562,110JJJ3015,BASVLG599015,OK,2024-02-14,"Коммутатор",24,2024,1
