printer_id,inventary_number,serial_number,status,date_exploitation_begin,name_frome_onec,number_room,year_created,printer_model_id
1,119YX789PQ,GF87NM50032L,OK,2023-12-1,"МФУ производство КНР","301",2022,1
2,119GK4866A,BL37TM11034F,OK,2023-04-14,"Принтер производство КНР","105",2022,2
3,1193X7HHHZ,GF87NM53D444,OK,2022-10-10,"МФУ производство КНР","190",2022,3
4,119YX78004,GF87NM500004,OK,2023-11-15,"МФУ производство КНР","301",2022,1
5,119GK48005,BL37TM110005,OK,2023-05-20,"Принтер производство КНР","105",2022,2
6,1193X7H006,GF87NM53D006,OK,2022-12-01,"МФУ производство КНР","190",2022,3
7,119YX78007,GF87NM500007,OK,2024-01-10,"МФУ производство КНР","301",2023,1
8,119GK48008,BL37TM110008,OK,2023-08-22,"Принтер производство КНР","105",2022,2
9,1193X7H009,GF87NM53D009,OK,2022-11-05,"МФУ производство КНР","190",2022,3
10,119YX78010,GF87NM500010,OK,2023-06-18,"МФУ производство КНР","402",2022,1
11,119GK48011,BL37TM110011,OK,2024-02-14,"Принтер производство КНР","105",2024,2
12,1193X7H012,GF87NM53D012,OK,2023-09-30,"МФУ производство КНР","190",2022,3
13,119YX78013,GF87NM500013,OK,2021-11-20,"МФУ производство КНР","301",2021,1
14,119GK48014,BL37TM110014,OK,2023-10-11,"Принтер производство КНР","210",2022,2
15,1193X7H015,GF87NM53D015,OK,2022-04-15,"МФУ производство КНР","190",2022,3
16,119YX78016,GF87NM500016,OK,2023-01-25,"МФУ производство КНР","301",2022,1
17,119GK48017,BL37TM110017,OK,2024-03-05,"Принтер производство КНР","105",2024,2
18,1193X7H018,GF87NM53D018,OK,2023-07-07,"МФУ производство КНР","190",2023,3
19,119YX78019,GF87NM500019,OK,2022-08-19,"МФУ производство КНР","405",2022,1
20,119GK48020,BL37TM110020,OK,2023-05-14,"Принтер производство КНР","105",2022,2
21,1193X7H021,GF87NM53D021,OK,2024-01-28,"МФУ производство КНР","190",2024,3
22,119YX78022,GF87NM500022,OK,2023-12-01,"МФУ производство КНР","301",2022,1
23,119GK48023,BL37TM110023,OK,2022-02-10,"Принтер производство КНР","215",2021,2
24,1193X7H024,GF87NM53D024,OK,2023-11-20,"МФУ производство КНР","190",2023,3
25,119YX78025,GF87NM500025,OK,2022-09-05,"МФУ производство КНР","301",2022,1
26,119GK48026,BL37TM110026,OK,2023-04-14,"Принтер производство КНР","105",2022,2
27,1193X7H027,GF87NM53D027,OK,2024-04-12,"МФУ производство КНР","190",2024,3
28,119YX78028,GF87NM500028,OK,2023-02-18,"МФУ производство КНР","402",2022,1
